driver_position,driver_code,driver_name,PTS,AUS,CHN,JPN,BRN,SAU,MIA,ITA,MON,ESP,CAN,AUT,GBR,BEL,HUN,NED,ITA2,AZB,SIN,USA,MEX,BRA,LAS,QAT,ARE,scraped_at
1,NOR,Lando Norris,423,25.0,19.0,18.0,15.0,12.0,26.0,18.0,25.0,18.0,,25.0,25.0,24.0,25.0,,18.0,6.0,15.0,18.0,25.0,33.0,,18.0,15.0,2026-04-19T15:14:26
2,VER,Max Verstappen,421,18.0,18.0,25.0,8.0,18.0,12.0,25.0,12.0,1.0,18.0,,10.0,20.0,2.0,18.0,25.0,25.0,18.0,33.0,15.0,20.0,25.0,30.0,25.0,2026-04-19T15:14:26
3,PIA,Oscar Piastri,410,2.0,32.0,15.0,25.0,25.0,32.0,15.0,15.0,25.0,12.0,18.0,18.0,32.0,18.0,25.0,15.0,,12.0,10.0,10.0,10.0,,26.0,18.0,2026-04-19T15:14:26
4,RUS,George Russell,319,15.0,20.0,10.0,18.0,10.0,20.0,6.0,,12.0,25.0,10.0,1.0,10.0,15.0,12.0,10.0,18.0,25.0,15.0,6.0,18.0,18.0,15.0,10.0,2026-04-19T15:14:26
5,LEC,Charles Leclerc,242,4.0,4.0,12.0,12.0,15.0,6.0,8.0,18.0,15.0,10.0,15.0,,20.0,12.0,,12.0,2.0,8.0,19.0,18.0,4.0,12.0,4.0,12.0,2026-04-19T15:14:26
6,HAM,Lewis Hamilton,156,1.0,8.0,6.0,10.0,6.0,10.0,12.0,10.0,8.0,8.0,12.0,12.0,6.0,,,8.0,4.0,4.0,17.0,4.0,2.0,4.0,,4.0,2026-04-19T15:14:26
7,ANT,Kimi Antonelli,150,12.0,10.0,8.0,,8.0,10.0,,,,15.0,,,,1.0,,2.0,12.0,10.0,1.0,8.0,25.0,15.0,13.0,,2026-04-19T15:14:26
8,ALB,Alexander Albon,73,10.0,6.0,2.0,,2.0,10.0,10.0,2.0,,,,4.0,8.0,,10.0,6.0,,,3.0,,,,,,2026-04-19T15:14:26
9,SAI,Carlos Sainz,64,,1.0,,,4.0,2.0,4.0,1.0,,1.0,,,3.0,,,,15.0,1.0,6.0,,,10.0,16.0,,2026-04-19T15:14:26
10,ALO,Fernando Alonso,56,,,,,,,,,2.0,6.0,6.0,2.0,,10.0,4.0,,,6.0,1.0,,3.0,,8.0,8.0,2026-04-19T15:14:26
11,HUL,Nico Hülkenberg,51,6.0,,,,,,,,10.0,4.0,2.0,15.0,,,,,,,4.0,,2.0,6.0,,2.0,2026-04-19T15:14:26
12,HAD,Isack Hadjar,51,,,4.0,,1.0,,2.0,8.0,6.0,,,,1.0,,15.0,1.0,1.0,,,,4.0,8.0,,,2026-04-19T15:14:26
13,BEA,Oliver Bearman,41,,4.0,1.0,1.0,,,,,,,,,2.0,,8.0,,,2.0,2.0,12.0,8.0,1.0,,,2026-04-19T15:14:26
14,LAW,Liam Lawson,38,,,,,,,,4.0,,,8.0,,4.0,4.0,,,10.0,,,,6.0,,2.0,,2026-04-19T15:14:26
15,OCO,Esteban Ocon,38,,10.0,,4.0,,,,6.0,,2.0,1.0,,4.0,,1.0,,,,,2.0,,2.0,,6.0,2026-04-19T15:14:26
16,STR,Lance Stroll,33,8.0,2.0,,,,4.0,,,,,,6.0,,6.0,6.0,,,,,,,,,1.0,2026-04-19T15:14:26
17,TSU,Yuki Tsunoda,33,,3.0,,2.0,,4.0,1.0,,,,,,,,2.0,,8.0,,8.0,,,,5.0,,2026-04-19T15:14:26
18,GAS,Pierre Gasly,22,,,,6.0,,1.0,,,4.0,,,8.0,1.0,,,,,,,,2.0,,,,2026-04-19T15:14:26
19,BOR,Gabriel Bortoleto,19,,,,,,,,,,,4.0,,2.0,8.0,,4.0,,,,1.0,,,,,2026-04-19T15:14:26
20,COL,Franco Colapinto,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19T15:14:26
21,DOO,Jack Doohan,0,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-19T15:14:26
